wl	GaAs
984.364	726.933
984.574	740.76
984.784	739.504
984.995	730.899
985.205	739.291
985.415	729.521
985.625	733.437
985.836	732.515
986.046	708.654
986.256	709.493
986.466	723.735
986.676	713.423
986.886	723.617
987.097	714.297
987.307	726.909
987.517	707.871
987.727	704.881
987.937	703.781
988.147	695.32
988.358	701.154
988.568	701.218
988.778	687.797
988.988	703.063
989.198	689.662
989.408	686.446
989.618	689.315
989.828	690.32
990.039	691.353
990.249	675.263
990.459	683.256
990.669	688.38
990.879	684.084
991.089	681.679
991.299	678.539
991.509	682.939
991.719	687.142
991.929	671.956
992.14	662.673
992.35	652.823
992.56	662.848
992.77	667.236
992.98	668.742
993.19	658.314
993.4	668.424
993.61	655.146
993.82	650.936
994.03	654.36
994.24	641.186
994.45	651.665
994.66	647.478
994.87	649.846
995.08	646.022
995.29	656.221
995.5	644.693
995.71	642.645
995.92	653.21
996.13	641.103
996.34	635.32
996.55	646.93
996.76	636.581
996.97	630.447
997.18	635.407
997.391	632.01
997.6	637.691
997.81	642.092
998.02	630.337
998.23	626.532
998.44	623.12
998.65	620.729
998.86	625.58
999.07	620.917
999.28	626.051
999.49	620.787
999.7	617.318
999.91	620.866
1000.12	614.54
1000.33	606.524
1000.54	604.949
1000.75	611.7
1000.96	599.096
1001.17	602.596
1001.38	611.899
1001.59	611.092
1001.8	603.43
1002.01	598.813
1002.22	594.324
1002.43	597.868
1002.64	593.233
1002.85	597.021
1003.06	598.707
1003.27	587.562
1003.48	593.215
1003.69	594.667
1003.9	589.571
1004.11	588.315
1004.32	575.664
1004.53	581.017
1004.74	578.709
1004.95	583.348
1005.16	567.209
1005.37	564.612
1005.58	574.471
1005.79	571.943
1006	562.537
